age,sex,religion,accomodation,drug_alcohol,drug_marijuana,drug_tobacco,drug_barbiturates
21,M,CHRISTISN,HOSTEL,YES,YES,NO,NO
23,M,CHRISTISN,HOSTEL,NO,NO,NO,NO
25,F,CHRISTISN,OUTSIDE RESIDENCE,YES,NO,NO,NO
25,M,CHRISTISN,HOSTEL,YES,YES,YES,NO
26,F,CHRISTISN,OUTSIDE RESIDENCE,YES,NO,NO,YES
21,F,CHRISTISN,OUTSIDE RESIDENCE,YES,NO,YES,NO
23,M,CHRISTISN,HOME,YES,NO,NO,NO
24,M,CHRISTISN,OUTSIDE RESIDENCE,NO,NO,NO,NO
21,M,CHRISTISN,HOSTEL,NO,NO,NO,NO
22,F,CHRISTISN,HOSTEL,YES,NO,YES,NO
23,F,CHRISTISN,OUTSIDE RESIDENCE,YES,NO,YES,NO
24,M,CHRISTISN,OUTSIDE RESIDENCE,YES,YES,NO,NO
25,F,CHRISTISN,HOSTEL,NO,NO,NO,NO
26,M,MUSLIM,HOSTEL,YES,NO,NO,NO
22,F,CHRISTIAN,HOSTEL,YES,NO,YES,NO
25,F,CHRISTIAN,OUTSIDE RESIDENCE,NO,NO,NO,NO
22,M,CHRISTIAN,OUTSIDE RESIDENCE,YES,YES,NO,NO
21,M,MUSLIM,OUTSIDE RESIDENCE,YES,NO,YES,NO
24,M,CHRISTIAN,HOSTEL,NO,YES,NO,NO
21,M,CHRISTIAN,HOSTEL,NO,NO,NO,NO
24,M,CHRISTIAN,HOSTEL,YES,YES,NO,NO
21,M,MUSLIM,HOSTEL,YES,NO,YES,YES
25,F,CHRISTIAN,HOSTEL,YES,NO,NO,NO
26,M,PAGAN,HOSTEL,NO,NO,NO,NO
25,F,MUSLIM,HOME,YES,NO,NO,NO
24,M,CHRISTIAN,OUTSIDE RESIDENCE,YES,YES,NO,NO
21,F,ATHEIST,HOME,YES,YES,NO,NO
23,F,CHRISTIAN,OTSIDE RESIDENCE,YES,YES,NO,NO
21,F,CHRISTIAN,HOME,YES,NO,NO,NO
25,M,CHRISTIAN,HOME,YES,NO,NO,NO
23,M,MUSLIM,HOSTEL,YES,NO,NO,NO
21,M,PAGAN,HOSTEL,YES,NO,YES,YES
22,MF,CHRISTIAN,HOME,YES,NO,NO,NO
24,M,MUSLIM,HOSTEL,YES,YES,NO,NO
22,F,CHRISTIAN,OUTSIDE RESIDENCE,YES,NO,NO,NO
22,M,CHRISTIAN,OUTSIDE RESIDENCE,YES,NO,NO,NO
22,M,CHRISTIAN,ELDORET TOWN,NO,NO,NO,NO
26,M,CHRISTIAN,HOSTEL,YES,YES,NO,NO
23,F,CHRISTIAN,HOME,YES,YES,NO,NO
21,F,CHRISTIAN,HOSTEL,YES,NO,NO,NO
23,M,CHRISTIAN,HOSTEL,YES,NO,YES,NO
25,M,CHRISTIAN,HOSTEL,YES,YES,NO,NO
23,F,CHRISTIAN,OUTSIDE RESIDENCE,YES,YES,NO,NO
26,M,CHRISTIAN,OUTSIDE RESIDENCE,YES,YES,NO,NO
25,F,CHRISTIAN,HOSTEL,NO,YES,NO,NO
24,M,CHRISTIAN,OUTSIDE RESIDENCE,NO,NO,NO,NO
21,F,CHRISTIAN,HOSTEL,YES,NO,NO,NO
23,M,CHRISTIAN,HODTEL,YES,NO,NO,NO
24,F,CHRISTIAN,OUTSIDE RESIDENCE,YES,NO,YES,NO
25,M,CHRISTIAN,HODTEL,YES,NO,NO,NO
24,M,CHRISTIAN,OUTSIDE RESIDENCE,NO,YES,NO,NO
22,M,CHRISTIAN,RESIDENCE,NO,NO,NO,NO
21,FM,CHRISTIAN,OUTSIDE RESIDENCE,NO,YES,NO,NO
24,F,CHRISTIAN,OUTSIDE RESIDENCE,YES,NO,NO,NO
22,M,PAGAN,OTSIDE RESIDENCE,YES,NO,NO,NO
23,F,CHRISTIAN,OUTSIDE RESIDENCE,YES,YES,YES,YES
24,M,CHRISTIAN,OUTSIDE RESIDENCE,YES,YES,NO,NO
22,F,CHRISTIAN,HOSTEL,YES,NO,NO,NO
23,M,CHRISTIAN,HOSTEL,YES,NO,YES,NO
22,M,CHRISTIAN,HOSTEL,YES,NO,NO,NO
23,M,PAGAN,HOSTEL,YES,YES,NO,NO
22,M,CHRISTIAN,HOSTEL,NO,NO,NO,NO
22,M,CHRISTIAN,HOSTEL,NO,NO,NO,NO
23,M,PAGAN,HOSTEL,YES,NO,NO,NO
23,M,CHRISTIAN,OUTSIDE RESIDENCE,YES,YES,YES,NO
23,M,CHRISTIAN,HOME,NO,YES,NO,YES
23,M,CHRISTIAN,OUTSIDE RESIDENCE,YES,NO,NO,NO
23,M,PAGAN,OUTSIDE RESIDENCE,YES,YES,NO,NO
24,M,CHRISTIAN,OUTSIDE RESIDENCE,YES,YES,NO,NO
23,M,PAGAN,OUTSIDE RESIDENCE,YES,NO,NO,NO
25,F,PAGAN,OUTSIDE RESIDENCE,YES,YES,NO,NO
25,M,PAGAN,OUTSIDE RESIDENCE,YES,NO,NO,NO
24,F,CHRISTIAN,OUTSIDE RESIDENCE,YES,NO,NO,NO
23,F,CHRISTIAN,OUTSIDE RESIDENCE,YES,YES,YES,YES
21,F,PAGAN,OUTSIDE RESIDENCE,YES,NO,NO,NO
21,F,CHRISTIAN,OUTSIDE RESIDENCE,YES,YES,NO,NO
21,F,PAGAN,OUTSIDE RESIDENCE,YES,NO,NO,NO
21,F,CHRISTIAN,OUTSIDE RESIDENCE,YES,YES,NO,NO
23,F,CHRISTIAN,OUTSIDE RESIDENCE,YES,NO,YES,NO
24,M,PAGAN,HOME,YES,NO,NO,NO
25,M,PAGAN,HOSTEL,YES,YES,NO,NO
23,F,CHRISTIAN,HOSTEL,YES,YES,NO,NO
22,M,CHRISTIAN,OUTSIDERESIDENCE,NO,NO,NO,NO
23,M,PAGAN,OUTSIDE RESIDENCE,NO,NO,NO,NO
23,M,MUSLIM,HOSTEL,YES,YES,NO,NO
21,M,PAGAN,HOSTEL,NO,NO,NO,NO
22,M,CHRISTIAN,HOSTEL,YES,YES,NO,NO
24,M,CHRISTIAN,OUTSIDERESIDENCE,YES,NO,NO,NO
25,M,CHRISTIAN,OUTSIDERESIDENCE,YES,NO,NO,NO
21,F,MUSLIM,OUTSIDERESIDENCE,YES,YES,YES,NO
24,M,PAGAN,OUTSIDERESIDENCE,YES,NO,NO,YES
